text,likes,replies,date,sentiment
Do make a documentary on Hamas terror attacks,1,0,2024-10-06T10:37:55Z,2
CNN crying about IDF success in destroying Hamas. Then celebrating the failures of IDF during the GoPro footage. Clown News Network. Looks like they got a small group of folks left to spoon feed what they need.,0,0,2023-11-17T03:45:29Z,0
If u call this terrorist attack 😂😂 well for 75 years they've been oppressed by the real terrorists to me i only see a reaction of resistence. U support killing more than 5000 palestinian kids since hamas attack and defend israel for doing it what an evil u'r,0,0,2023-11-20T08:51:59Z,2
"Israel has killed many civilians, including aid workers, journalists and hostages. More than 25,000 Palestinians have lost their lives (mostly women and children).
Yasmin Porat survived October 7th and she stated that IDF killed Israeli captives (Haboker Hazeh radio program on 15 October 2023).
Israel bombed the third oldest church in the world (Gaza Greek Orthodox Church), civilian convoy, Rafah crossing, refugee camp etc. Israel used white phosphorus in civilian areas. Indiscriminate attacks are prohibited by the Geneva Conventions and customary international law.٥غ",5,10,2024-01-30T22:46:59Z,1
This is a great evil. All those who support will have to face this for their whole lives.,1,0,2024-10-08T19:35:52Z,2
Their security fail catastrophically... so interesting he says that as his own country's security of the boarder remains un protected properly as well. 😅,0,1,2023-11-16T22:45:28Z,2
How can you say bad things about Hamas when Israel is doing things like this,1,0,2024-10-27T13:53:38Z,1
history will thank aljazeera,1,0,2024-10-06T10:47:24Z,2
Move Gazans to Egypt and Saudia Arabia !,13,5,2024-08-19T17:52:49Z,2
Why hate others in this manner,1,0,2024-10-05T20:10:34Z,2
"What is the history of Palestine? We know the history of Israel of Jacob,moses,David,Solomon,Jesus,etc",0,0,2023-12-06T14:04:48Z,0
Stop the war.,0,0,2024-09-26T10:34:13Z,2
Do you condemn the Israeli occupation of palatine? yes or no? yes or no? yes or no?,5,1,2024-03-21T22:23:30Z,2
Why were they wearing bodycams?,0,0,2023-11-16T19:13:34Z,2
And a controlled demoliton is exactly showed here,0,0,2024-10-18T22:34:29Z,2
"Those here to read comments, say hi 👋....",14,1,2024-03-20T13:46:39Z,2
Aljazeera is the worst and most biased news agency. Everyone knows it except for the Anti Israelis.,2,0,2024-07-27T10:18:25Z,0
Israel and ye US set up all this as Pro Israeli propaganda,1,0,2023-11-16T07:14:48Z,2
"This barely scratches the surface of what happened and smells a bit like a limited hangout/whitewash to me.  Not enough interviews with victims OR participants to give any real sense of what happened. There should be an independent international investigation. A better documentary is ""October 7 Was An Inside Job.""  Watch it before it gets pulled from YT.",0,0,2024-04-30T23:17:15Z,2
"Israel must let independent investigators especially the UN to clear up the disputes. But it didn't. Israel only wants  the world to receive their narration. As Natanyahu said, they must influence the world to be on their side and ask ZAKA to support the mission.",2,0,2024-03-23T01:40:58Z,1
the notes are informative,1,0,2024-03-23T15:40:21Z,2
"There are a lot of interpretations of this conflict- I would encourage everyone to be critical thinkers, to suspend their personal ideologies, and look at the evidence objectively (and it’s long and messy).",10,1,2024-05-23T15:07:57Z,2
"You stand as the lone voice for the oppressed Palestinians, speaking truth to a world that often turns a blind eye. This documentary is a spine-chilling account of the blatant violations of international law, laying bare the double standards of the West. Insha'Allah, the day will come when justice prevails. Hasbunallahu wa ni'mal wakeel —Allah is sufficient for us, and He is the best disposer of affairs.",2,0,2024-10-06T04:59:21Z,1
Where are they now? Why run n hide,0,0,2023-11-16T02:46:37Z,2
WHY IS CNN BLURRING THEIR FACES?!!. You are protecting the identity of terrorists?,0,0,2023-11-21T23:31:41Z,2
It looks like a controlled explosion when contractors do in a hotel or casino no rocket on this one😢,56,6,2023-10-18T23:13:29Z,2
Not a biased investigation 😂,0,0,2024-03-26T15:06:01Z,2
There shouting allahuakbar because Allah wants this barbaric doings not good doings if you do good things Allah don't accept you in heaven😂 Face reveal your Allah 😂 👎,0,0,2023-11-21T16:14:55Z,1
"Israël stole land of the palestines, don't forget that!!",0,2,2024-05-10T22:08:39Z,1
Palestinian people are indeed very enduring. They tried peacefully untill 2018. But after that it's Israel's fault,1,0,2024-03-20T19:25:19Z,1
"Sadly, CNN is a late comer to this genocide.",1,0,2024-08-15T17:57:27Z,2
Why isn't anyone connecting this genocide on livestream to the overt child abuse and mistreatment that's been normal in people's faces for decades? They are the Same. Bully the vulnerable instead of defend them. Too coward to stand up to bullies,0,0,2024-10-03T18:55:31Z,0
What a donky had no cover lol,0,0,2023-11-17T07:40:33Z,2
"20 minutes, not any crime, journalist that collaborated with Hamas are doomed, was their choice of war side with cover, for few time, risking their families. a shame qatar still support this.",0,0,2024-11-02T00:05:45Z,0
"GOD WILL BE PROTECTING ISRAEL. GOD SAID, IF YOU'RE NOT WITH ME YOU'RE AGAINST ME",0,0,2023-11-16T03:41:25Z,0
"Ofcourse the Palestines were going to pay heavily. And the Jews, their time to pay is coming. Remember that they have enjoyed decades of prosperity. And as it was in the biblical times, the Israelis often enjoyed prosperity, then forgot about God and went on to do evil, and they were struck....well, here we go.",0,0,2024-03-24T19:01:55Z,1
The whole world shud sanction the demonic state of Israel. All Christians must think twice about flocking to Israel for religious reasons,0,0,2023-11-11T19:14:37Z,1
Al-Jazeera should tell us why so much tunnel in Gaza City? Hamas also celebrate after attacking on October 7 and happily put in on live streaming. Dont bias to tell the truth. Now all of this impact of the October 7.,0,0,2024-10-28T04:49:22Z,0
"Shame on israel 
Shame on USA 
Stop the genocide",1,0,2024-10-19T07:39:33Z,1
"""there is a list""😂😂",0,0,2023-11-24T16:03:29Z,2
"You should look at the Russian - Ukraine front.  ""Military Summary""",1,0,2024-01-31T03:44:44Z,2
even they consider their lives as cheap 😮 sick death cult,0,0,2024-08-18T05:15:42Z,2
Goodness me FFS this is what is portrayed as the most moral army in the world than what the most immoral army would behave and do.,5,0,2024-10-04T03:50:01Z,2
I'm shocked.allah help to Palestine people.,0,0,2024-10-15T10:29:33Z,1
Devastating to view this. Long live the Palestinian resistance.,0,0,2024-10-03T14:20:22Z,1
"The Zionists came to Palestine as refugees and were received and cared for. Some of the Palestinians even housed them in their homes, fed them, cared for them, and treated them. The poor Palestinians did not know that this was a treacherous plan being prepared to kill and expel them.  From their homes, lands, villages and cities... Here you will find a list of the metaphors that the Zionists have done to the Palestinians over the course of more than 75 years.

You will find a list of the inhumane massacres that the Zionists committed against the Palestinians who extended a helping hand : 

 Haifa Massacre 1937 
- Jerusalem Massacre 1937 
- Haifa Massacre 1938 
- Jerusalem Massacre - 1938 
- Balad al-Sheikh Massacre 1939 
- Haifa Massacre 1939 
- King David Hotel Massacre 1946 
- Haifa Massacre 1947 
- Akka Massacre 1947 
- Abbasiya Massacre 1947 
- Balad al-Sheikh Massacre 1947 
- Al-Khisas Massacre 1947 
- Bab al-Amud Massacre 1947 
- Jerusalem Massacre 1947 
- Sheikh Bureik Massacre 1947 
- Jaffa Massacre 1948 
- Al Tantura Massacre 1948 
- Deir Yasin Massacre 1948 
- Al-Saraya Massacre 1948 
- The Semiramis Massacre 1948 
- Jerusalem Massacre - 1948 
- Al-Saraya Al-Arabeya Massacre 1948 
- Lydda Massacre 1948 
- Ramla Massacre 1948 
- Yazur Massacre 1948 
- Haifa Massacre 1948 
- Tabra Tulkarem Massacre 1948 
- Sa’sa’ Massacre 1948 
- Abu Kabir Massacre 1948 
- Cairo Train Massacre 1948 
- Qalunya Massacre 1948 
- Nasir al-Din Massacre 1948 
- Tiberias Massacre 1948 
- Ayn al-Zaytoun Massacre 1948 
- Safed Massacre 1948 
- Abu Shusha Massacre 1948 
- Beit Daras Massacre 1948 
- Al-Husayniyya Massacre 1948 
- Khan Yunis Massacre 1956 
- Kafr Qasim Massacre 1956 
- Jerusalem Massacre 1967 
- Sabra and Shatila Massacre 1982 
- Al-Aqsa Massacre 1990 
- Ibrahimi Mosque Massacre 1994 
- Jenin Refugee Camp April 2002 
- Gaza Massacre 2008-09 
- Gaza Massacre 2012 
- Gaza Massacre 2014 
- Gaza Massacre 2018-19 
- Gaza Massacre 2021 
- Gaza Genocide 2023 ongoing....

You will find a link to a statement by Mohamed Hadid, the father of models Bella Hadid and Gigi Hadid, about what happened with the Palestinians receiving Zionist refugees and receiving them from the ports as poor refugees who suffered from genocide and European terrorism... as the Palestinians are not only Muslims, but also Christians and Jews who lived together as brothers in the same cities.  And villages, even neighbors, leave their children with their neighbors.. You will also find a link to a Palestinian Jewish statement explaining how the Palestinians were interconnected as one family
This one story from 
( This is one story, but there were thousands with it happening the same way)

https://youtu.be/JSiGSxI3nVU?si=Lv-3JtUxaO7i36HB

     Here is a YouTube link showing that the Jews reject Zionism and the occupation of Palestine : 


https://youtu.be/LffzmqbGbFY?si=gL_3znK9t9Dvz9qt

https://youtube.com/shorts/HH0Lr2nM2qY?si=h-qzv6fH3d6vi2UU",0,0,2024-07-06T16:32:27Z,1
Iran Next,1,0,2024-10-19T16:23:24Z,2
Thenk you aljazeera this channel is  only truth in the world,11,0,2024-10-28T16:54:20Z,2
Al Jazeera established itself on another level above all western media agencies,1,0,2024-03-20T15:46:23Z,2
After watching the end I know exactly who started it! Great journalism! This is a great piece of journalism and it needs to be shown to millions of people!,59,2,2024-04-25T22:54:27Z,2
"What is exclusive about this video? it has been on YouTube since day 1!!!! If the Israeli government has evidence, why has it not been officially shared by the Israeli government with the international community? Why is it left to individuals and MSM to propagate the Israeli fabricated story about raping women and burning babies? Pathetic!!",1,0,2023-11-16T15:29:00Z,1
"This is why People Do Not Believe CNN & Other Major News Outlets..
You have on your screen, ""But Offers No Evidence Of Underground Tunnels"" WTF?? Israel has shown the tunnels, you can see these tunnels in this video but you deny the Tunnels? 
This is like ""Wack a Mole"" they pop up, shoot & disappear! Then the bombs fall! Never believe Death Tolls from Terrorists also..",1,0,2023-11-20T17:02:22Z,2
"If there is no day of judgment, I am very sad but the time is coming there is no justice in this world.",0,0,2024-10-20T07:26:24Z,2
Iran and its proxies like Hamas and other groups are making you bleed for them. Give peace a chance. you have everything to gain and nothing to lose. not now.,0,0,2024-08-19T05:45:51Z,2
"Most likely it was full of refugees, that is what they do everyday with total impunity",1,0,2024-04-26T11:19:02Z,2
Fack cnn,0,0,2023-11-20T19:29:34Z,2
"OMG, this is beyond crualty.
How can this be part of religious people. I am blown away. Shame shame shame on all involved. But whatever they do , know this isnt Godly, it is however very much demonic.",1,0,2024-10-03T16:55:35Z,2
So heartbreaking!,0,0,2023-10-08T00:45:48Z,2
Footage is fake and they're actors. Pathetic.,1,0,2024-12-26T00:33:44Z,2
"Netanyahu lies so much
All made up
Good thing for Honest Real Journalists like Max Blumenthal and Aaron Mate to tell us the truth
Almost every Hamas Fighter that went into the Kibbutz that day had their families wiped out by Israeli Military",0,0,2024-03-23T19:28:13Z,1
Hamas did wrong and now Israel military is doing wrong. Both sides are wrong so the fighting will never end. You can’t keep going this way.,1,0,2024-10-19T06:07:26Z,2
And this is what people in America are protesting for!? 🤮,3,6,2023-11-19T03:34:39Z,2
"So I don’t hear any of these “victims” in Gaza apologizing for what Hamas did to Israel. I don’t hear them distancing themselves from the actions of their governing political party. You play with fire, you’re gonna get burnt",0,0,2024-10-13T04:27:33Z,0
15mins in. I can’t bear to watch it anymore 😢,3,0,2024-10-06T00:25:19Z,2
Really you are recycling the same news to legitimize genocide. What a shit propaganda news channel.,0,0,2023-11-18T20:23:02Z,1
"Praying for innocent people in both sides.
Killing is killing..",69,2,2024-04-09T20:08:21Z,2
No steel in there strucures,0,0,2023-10-18T13:46:07Z,2
"What I am sure of is that the Al Jazeera journalists should be in jail. There was a massacre in Israel on 7.10 and Al Jazeera is busy finding things that were not accurate, because it is very difficult to identify on burned people what their age is. And the story of the family with the 2 children happened, they simply have 3 children so there is an incorrect detail, you can check and write the mother's name, Tamar Kedem. The twins, brother and sister, were murdered by Hamas, from all the abuse they went through it was difficult to recognize the girl. It's like taking the tragedy of the holocaust and finding inaccurate stories and then denying the holocaust, Aljazeera journalists should be in jail. Why don't you publish the real videos that show horrific things, why don't you show the ""citizens"" spitting and beating kidnapped children? Your day will come with God's help",2,0,2024-05-02T21:48:02Z,0
"The American people have been programmed way beyond what they can understand.
Islam can absorb any level of intelligence actually you become more intelligent by submitting to the one and only true god .",0,0,2024-08-16T11:03:42Z,2
How could they😢,0,0,2023-10-18T21:09:04Z,2
Abandoned by the world because you embraced the terrorists hamas,1,0,2024-08-16T08:16:52Z,0
We must not be silent while witnessing injustice. Israel is committing war crimes and US/UK are complicit in those crimes,39,25,2024-01-31T00:55:11Z,1
"Air strikes, not explosions you western sheep.",0,0,2023-11-08T09:26:21Z,2
All eyes on Bangladesh!,0,0,2024-11-27T16:20:53Z,2
"God the last part is so so hard to watch. It’s chilling hearing that woman and those other men saying ‘finish them’ ‘we will wipe them off the map’ while a child is crying, kissing goodbye to a dead family member in a body bag",1,1,2024-03-25T20:56:55Z,2
"CNN call the occupied terrorist, but the occupier defending themselves! Just amazing!

Mandela was also called a terrorist for figthing for against the apartheid state of South Africa.",0,0,2023-11-18T06:22:56Z,1
Everyone needs to watch this.,30,1,2024-10-03T21:27:49Z,2
1 question.. where is allah when you need him?,1,1,2023-10-20T15:57:37Z,2
That is the day Israel will never forget ❤❤,0,0,2024-03-23T13:54:55Z,0
"Why did not you investigate on Israelus troops killing his owns ?
They have bombed vehicules back to gaza with hostages.
Count back 1400 victims to 1200 by isr spokeman 
He said himself than bodies were so burnt",0,0,2023-11-23T07:20:07Z,1
Incredibly well done.,17,1,2024-04-23T00:02:44Z,2
I am Speechles. Good Documentary. ✌✌✌,2,0,2024-10-05T16:35:00Z,2
"This was from the 2014 war, the building that was being  used by journalists including AP, was accused of harbouring Hamas.
No  worries, the occupants were warned well beforehand, so the building was evacuated.",5,1,2024-03-07T22:11:56Z,2
"Notice how none of the so called free western mediation haven't investigated anything. They are hasbara pr agents BBC, CNN, fox news, itv etc",1,0,2024-10-06T23:30:47Z,2
So much food aid going into Gaza they have enough food to not need any for the next year. How is that forgotten. Millions protesting for them even though their ideology would not return the favour. How about they band together - get rid of Hamas and free the Hostages?,1,0,2024-08-20T05:49:39Z,2
Israel sees Palestinians as Germany saw Jews in ww2,1,0,2024-03-21T01:21:40Z,1
This is an American media. They all provide fake news. American propaganda.,0,0,2024-04-18T06:24:31Z,2
SAY it the Israeli know there is command center under the hospital because Israel built it in 1983 when they were fully in control of Gaza.,1,0,2023-11-16T03:50:40Z,0
Crack!!!,0,0,2024-10-03T12:19:02Z,2
What a crappy world we live in. Everything is a complete mess.,1,0,2024-10-06T10:33:52Z,2
How did it occur? How was the Israeli Army so unprepared especially since the Israeli govt was informed ahead of time?,1,0,2024-05-15T09:33:12Z,0
Sometimes are media like Al Jazeera the mike of the terrorists like here not mentioning any hamas civilian exploitation like their tunnels under homes  command an control in hospital etc just look for the truth because it’s well documented  and sometimes is Al Jazeera like the well known Arnone zemora hostages rescue operation in a Al Jazeera jernolists home were the journalist kept the hostages and had been killed in the raid and that’s only one example of Al Jazeeras complicity in the crimes so this video is just a way from justifying their own crimes but the world can’t stay silent it’s time to prosecute the Mike of terror should it be Al Jazeera or other other Mike of terror  at least turn it off before we are falling in the next 911 because they are the silent instigators just as they did on October 7 were they served in the program as the journalist and being complicit in the raping and slaughtering don’t believe me look at their own footage,0,1,2024-10-09T14:49:33Z,0
I hate israel free palestine😊,0,0,2023-12-22T18:37:07Z,1
Is this what Jews are about?,3,2,2024-12-13T11:53:13Z,0
Impunity breeds lawlessness.,0,0,2024-10-06T02:41:33Z,2
Okay SO this is why Israel is banning Al Jazeera!!!!!,2,0,2024-04-07T16:52:15Z,0
Jews hate Hitler for what? Because of genocide! So the same applies to Jews ... Why Jews hate that word Genocide?,2,0,2024-10-15T10:08:01Z,2
The IsraHell lobby owns european and other countries in their pockets if not backers.,0,0,2024-10-23T18:46:25Z,2
I am ashamed as a human being. I am ashamed as a Muslim. I am ashamed to be alive. I am ashamed of our humanity. May Allah forgive us all of our incompetency.,0,0,2024-11-11T20:17:47Z,2
that Oren guy is obviously an asshole.,0,0,2023-11-19T17:42:26Z,2
glory to the resistance and free palestine ✌️,0,0,2024-03-21T13:29:49Z,1
"hamas always justify it by long long time ago in 1948😂
If u ask hamas who was your Palestinian ruler and rule which part of the land before 1948. 
Answer: NONE",0,0,2024-01-10T23:41:33Z,0
"Israel soldiers think they are playing on a PlayStation console, they forgot the holocaust & what happened to them, shame on you Israel, no wonder you guys have no actual respect in this planet and scattered around the world like pieces of RUBBISH",0,0,2023-10-28T00:55:07Z,1
God help us all,0,0,2024-10-13T17:43:17Z,2
"""Abandoned by the world ""????. They've been Abandoned by their elected leaders.",0,0,2024-08-19T23:00:23Z,2
Al Jazeera repeats the lies of Hamas every day.   This video is bullshit.,2,0,2024-03-29T11:21:10Z,0
“Luckily they only shot my vest”. He is lucky he is alive. But shooting a press vest is a war crime. I mean we are witnessing all the war crimes.,1,0,2024-10-03T15:04:37Z,2
"Stop calling a 24 year old man a young kid.
Stupid use of words. 
If 24 yr old is a young kid what is a adult man 40 ?",0,0,2023-11-23T02:02:09Z,2
Naval army police tights,0,0,2024-09-15T16:21:48Z,2
Al Jazeera is a symbol of truth ❤,0,0,2024-10-24T03:21:19Z,2
Kidnapping the grandmother and innocents? Palestinians should be ASHAMED and disgusted. They created their own fate and suffering.,0,0,2024-06-20T03:55:16Z,0
This will be studied long after we are all gone,1,0,2024-10-14T08:27:59Z,2
Don’t blame the world . There are many donations from other countries but what happened to the money. ? Ask Hamas how they spend the money. Should blame Hamas the one. Abandoned their own people. Palestinians supports Hamas then ask Hamas accountability why abandoned their own people and ran away hiding under the tunnel it  & declaring war against Israel and left behind civilians after destroying their own land . Greedy for power better use the money to build the houses and develop the country instead buy weapon while civilians starving for poverty caused by the war.,0,0,2024-08-22T08:15:53Z,0
Al Jazeera continues the lies and attempted destruction of Jews in Israel.  You won't win. Am Yisrael Chai.,1,0,2024-09-22T23:30:09Z,0
without LIES Islam Dies. period!,5,0,2024-09-15T10:00:45Z,0
"This is very biased journalism.  They offer no historical context to why things happened, just Israel did this. I'm only 3 minutes in, and I'm getting a lot of red flags.",1,1,2024-11-25T06:33:59Z,0
"The Israeli newspaper Dawat Ahronoth said that the Israeli army forces threw bombs at Israeli cars and homes because they thought Hamas was there, which led to the killing of many Israelis.",1,0,2023-11-17T22:04:49Z,0
I lived in Russia for 30 years. I know a propaganda when I see one. NOTHING can justify terrorism. You should be ashamed.,1,0,2024-05-03T07:29:34Z,1
"CNN is so biased and takes side with Zionist, shame on you all !",0,0,2023-11-16T02:53:23Z,1
"its disgraceful what israel has done, they were an oppressed race that where treated like garbage by the germans in the war. Now they are doing the same to others what was done to them. To be treating others in the same manner that they were treated is pure evil. They are also not just doing it to the palestines but they have and doing it to Lebanon and any other country that decides to stand up for themselves and not allow israel to dominate and bully them. They are committing atrocities in front of the eyes of the world and they are not being stopped, that is unacceptable.",0,0,2025-01-03T10:42:36Z,1
"The man who is explaining the mindset between Israeli and American soldiers vs Hamas who are willing to die as martyrs is a total idiot. The palestenians have nothing to lose compared to Israelis or Americans. Palestenians have been margenalized by Israel in all levels. They have lost their dignity, homes, children, and living under the conditions that Israel have created for them for the last 70 years is not a pleasant life.",0,0,2023-11-16T04:44:02Z,2
Hamas committed a huge mistake in doing this.  They have gained nothing.  Israel allowing this was also a huge mistake.  They have lost all respect in the world.,1,1,2024-04-03T20:52:22Z,2
Minute 49:00   Dont see this!!!!!!,0,0,2024-10-21T05:10:44Z,2
The origin of the word Zionism is lie and lie and lie.. mean,1,0,2024-03-26T17:45:18Z,1
Wow ITF crimes rolled up into a package. I’m 26 mins in and had to take a break from the anger. I’m a white non religious Australian standing with Palestine and Lebanon people. AJ thank you for putting this together. With big breaths and tears I’ll watch the rest. Bless Palestine and Lebanon snd may god protect them 🙏🏼🇵🇸🇱🇧🇦🇺💕,20,0,2024-10-04T04:54:44Z,1
Prayers for the innocent people! The hate and deaths has to stop! My country needs to stop all its funding now!,2,0,2024-04-29T02:53:03Z,2
this is so terrible I hate it :(,0,0,2023-11-06T13:27:26Z,2
You called the HAMAS men terrorist but why did you blurr their faces? Why would you want to enable the terrorist? 😢,1,0,2023-11-17T05:10:56Z,0
Leftist CNN promoting HAMAS! How strange!!!,0,0,2023-11-18T02:41:20Z,0
Does the law prohibit to cover a head of a terrorist who killed and raped?????,0,0,2024-10-29T10:34:03Z,2
Palestine is all alone and we are enjoying it .... Its a shame to call us as humen being .... Please some one tell me how can I help them...,5,0,2024-10-03T11:09:45Z,1
bro hes shooting innocent civilians and soldiers with families. He then screams like a little girl when he gets shot.,0,0,2023-11-23T20:27:07Z,2
"What about that did to a idf women nakedly they took inside gaza oct ,7",0,0,2024-10-14T20:26:24Z,0
Nukes will fly,1,0,2023-10-07T22:36:26Z,2
Everyone in the world needs to watch this. International law must be applied for this impunity otherwise humanity will be lost,1,0,2024-10-05T05:29:28Z,2
"God bless and protect these people, our brothers and sisters and grant them nothing but Jannah  and goodness and decency and love and mercy in this life. Please end their pain and suffering ya Rabb Ameen",2,0,2024-10-05T01:20:46Z,1
In short Al-Jazeera is rooting for Hamas?,13,4,2024-04-16T21:03:21Z,2
IDF hate and vengeance knows no bounds.,0,0,2023-10-27T17:35:29Z,2
Free israel  pelestin are trases,0,0,2023-12-04T11:03:10Z,0
they believe they are the special chosen ones. oh so special. their time is nigh....,0,0,2024-10-09T16:33:30Z,2
couldn't help but shed tears on the inhumanity of the israelites,1,0,2024-10-07T14:27:14Z,1
I knew l could smell a rat/ false flag. Thank you for confirming the truth. Long live Palestine,1,0,2024-03-21T15:12:45Z,1
I remember watching a live video of gaza and i just saw huge smoke clouds suddenly appearing after hearing a big boom and thats how i knew another place just got bombed.,0,0,2023-12-27T21:39:56Z,2
"Nice title. Of these, 17,000 were terrorists, which is a very, very low combatant-civilian ratio in urban warfare. Actually, it is much lower than recent wars by other Western countries, including the USA. It is sad that many civilians are killed, but all of them are Hamas's fault as they hide behind them. CNN please stop promoting Hamas's ISIS propaganda.",0,0,2024-08-19T07:27:54Z,0
F'd around too much? Finding out is gonna take some time. Stop crying.,0,0,2024-04-26T16:35:18Z,0
Has anyone seen any coverage about the American citizens being held as hostages by Hamas?,1,0,2024-08-15T22:46:57Z,2
You are Hamas cheap media,0,0,2024-04-06T19:21:39Z,0
Al jazeera has a issue with Israel clearly they have a Agenda to push,0,2,2024-10-19T19:41:23Z,0
